Algorithm,DataType,Size,Iterations,AvgTime_ns,ArrayMemory_bytes,ExtraMemory_bytes,TotalMemory_bytes
BubbleSort,Random,10,10000,461,40,12,52
InsertionSort,Random,10,10000,101,40,12,52
SelectionSort,Random,10,10000,248,40,12,52
MergeSort,Random,10,10000,1913,40,40,80
QuickSort,Random,10,10000,204,40,53,93
HeapSort,Random,10,10000,336,40,12,52
BubbleSort,Sorted,10,10000,0,40,12,52
InsertionSort,Sorted,10,10000,101,40,12,52
SelectionSort,Sorted,10,10000,210,40,12,52
MergeSort,Sorted,10,10000,1912,40,40,80
QuickSort,Sorted,10,10000,103,40,53,93
HeapSort,Sorted,10,10000,414,40,12,52
BubbleSort,Reverse,10,10000,554,40,12,52
InsertionSort,Reverse,10,10000,103,40,12,52
SelectionSort,Reverse,10,10000,301,40,12,52
MergeSort,Reverse,10,10000,1700,40,40,80
QuickSort,Reverse,10,10000,203,40,53,93
HeapSort,Reverse,10,10000,357,40,12,52
BubbleSort,NearlySorted,10,10000,302,40,12,52
InsertionSort,NearlySorted,10,10000,109,40,12,52
SelectionSort,NearlySorted,10,10000,220,40,12,52
MergeSort,NearlySorted,10,10000,2109,40,40,80
QuickSort,NearlySorted,10,10000,203,40,53,93
HeapSort,NearlySorted,10,10000,414,40,12,52
BubbleSort,FewUnique,10,10000,554,40,12,52
InsertionSort,FewUnique,10,10000,138,40,12,52
SelectionSort,FewUnique,10,10000,201,40,12,52
MergeSort,FewUnique,10,10000,1999,40,40,80
QuickSort,FewUnique,10,10000,207,40,53,93
HeapSort,FewUnique,10,10000,309,40,12,52
BubbleSort,Random,20,10000,1032,80,12,92
InsertionSort,Random,20,10000,306,80,12,92
SelectionSort,Random,20,10000,704,80,12,92
MergeSort,Random,20,10000,4356,80,80,160
QuickSort,Random,20,10000,495,80,69,149
HeapSort,Random,20,10000,1104,80,12,92
BubbleSort,Sorted,20,10000,115,80,12,92
InsertionSort,Sorted,20,10000,128,80,12,92
SelectionSort,Sorted,20,10000,850,80,12,92
MergeSort,Sorted,20,10000,4338,80,80,160
QuickSort,Sorted,20,10000,260,80,69,149
HeapSort,Sorted,20,10000,1129,80,12,92
BubbleSort,Reverse,20,10000,2632,80,12,92
InsertionSort,Reverse,20,10000,612,80,12,92
SelectionSort,Reverse,20,10000,717,80,12,92
MergeSort,Reverse,20,10000,4107,80,80,160
QuickSort,Reverse,20,10000,402,80,69,149
HeapSort,Reverse,20,10000,1238,80,12,92
BubbleSort,NearlySorted,20,10000,397,80,12,92
InsertionSort,NearlySorted,20,10000,103,80,12,92
SelectionSort,NearlySorted,20,10000,753,80,12,92
MergeSort,NearlySorted,20,10000,4406,80,80,160
QuickSort,NearlySorted,20,10000,308,80,69,149
HeapSort,NearlySorted,20,10000,1304,80,12,92
BubbleSort,FewUnique,20,10000,1442,80,12,92
InsertionSort,FewUnique,20,10000,299,80,12,92
SelectionSort,FewUnique,20,10000,854,80,12,92
MergeSort,FewUnique,20,10000,4566,80,80,160
QuickSort,FewUnique,20,10000,503,80,69,149
HeapSort,FewUnique,20,10000,1311,80,12,92
BubbleSort,Random,50,10000,10255,200,12,212
InsertionSort,Random,50,10000,2144,200,12,212
SelectionSort,Random,50,10000,4369,200,12,212
MergeSort,Random,50,10000,11888,200,200,400
QuickSort,Random,50,10000,1397,200,90,290
HeapSort,Random,50,10000,3967,200,12,212
BubbleSort,Sorted,50,10000,203,200,12,212
InsertionSort,Sorted,50,10000,200,200,12,212
SelectionSort,Sorted,50,10000,5301,200,12,212
MergeSort,Sorted,50,10000,11322,200,200,400
QuickSort,Sorted,50,10000,767,200,90,290
HeapSort,Sorted,50,10000,4173,200,12,212
BubbleSort,Reverse,50,10000,16412,200,12,212
InsertionSort,Reverse,50,10000,4054,200,12,212
SelectionSort,Reverse,50,10000,5007,200,12,212
MergeSort,Reverse,50,10000,11852,200,200,400
QuickSort,Reverse,50,10000,1047,200,90,290
HeapSort,Reverse,50,10000,3597,200,12,212
BubbleSort,NearlySorted,50,10000,3787,200,12,212
InsertionSort,NearlySorted,50,10000,468,200,12,212
SelectionSort,NearlySorted,50,10000,5132,200,12,212
MergeSort,NearlySorted,50,10000,11591,200,200,400
QuickSort,NearlySorted,50,10000,855,200,90,290
HeapSort,NearlySorted,50,10000,4384,200,12,212
BubbleSort,FewUnique,50,10000,11318,200,12,212
InsertionSort,FewUnique,50,10000,1891,200,12,212
SelectionSort,FewUnique,50,10000,4696,200,12,212
MergeSort,FewUnique,50,10000,11766,200,200,400
QuickSort,FewUnique,50,10000,1706,200,90,290
HeapSort,FewUnique,50,10000,3568,200,12,212
BubbleSort,Random,100,10000,48077,400,12,412
InsertionSort,Random,100,10000,8758,400,12,412
SelectionSort,Random,100,10000,19600,400,12,412
MergeSort,Random,100,10000,26239,400,400,800
QuickSort,Random,100,10000,3660,400,106,506
HeapSort,Random,100,10000,9444,400,12,412
BubbleSort,Sorted,100,10000,322,400,12,412
InsertionSort,Sorted,100,10000,450,400,12,412
SelectionSort,Sorted,100,10000,19286,400,12,412
MergeSort,Sorted,100,10000,24035,400,400,800
QuickSort,Sorted,100,10000,1902,400,106,506
HeapSort,Sorted,100,10000,10253,400,12,412
BubbleSort,Reverse,100,10000,65966,400,12,412
InsertionSort,Reverse,100,10000,17552,400,12,412
SelectionSort,Reverse,100,10000,22070,400,12,412
MergeSort,Reverse,100,10000,25503,400,400,800
QuickSort,Reverse,100,10000,2250,400,106,506
HeapSort,Reverse,100,10000,9727,400,12,412
BubbleSort,NearlySorted,100,10000,12684,400,12,412
InsertionSort,NearlySorted,100,10000,900,400,12,412
SelectionSort,NearlySorted,100,10000,20021,400,12,412
